ticker,name,status,start,end,rows,fomo_episodes
BBCA.JK,Bank Central Asia,✅,2015-01-02,2026-03-09,2755,2
BBRI.JK,Bank Rakyat Indonesia,✅,2015-01-02,2026-03-09,2755,7
TLKM.JK,Telkom Indonesia,✅,2015-01-02,2026-03-09,2754,0
ASII.JK,Astra International,✅,2015-01-02,2026-03-09,2754,4
BMRI.JK,Bank Mandiri,✅,2015-01-02,2026-03-09,2755,0
UNVR.JK,Unilever Indonesia,✅,2015-01-02,2026-03-09,2755,20
GOTO.JK,GoTo Gojek Tokopedia,✅,2022-04-11,2026-03-09,935,16
BREN.JK,Barito Renewables,✅,2023-10-09,2026-03-09,575,40
EMTK.JK,Elang Mahkota Teknologi,✅,2015-01-02,2026-03-09,2755,44
SIDO.JK,Sido Muncul,✅,2015-01-02,2026-03-09,2747,10
